"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6600","TC-LOGIN-26 — Protected module is inaccessible after logout","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-26-Verify-Direct-URL-Access-After-Logout-Redirects.spec.ts","",""
"","3531","TC-LOGIN-03 — Login page renders all expected elements","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-03-Verify-Login-Page-Elements-Visible.spec.ts","",""
"","4854","TC-LOGIN-08 — Invalid password is rejected","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-08-Verify-Invalid-Password-Shows-Error.spec.ts","",""
"","4624","TC-LOGIN-14 — Wrong-case password ""Admin123"" is rejected (case-sensitive)","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-14-Verify-Case-Sensitive-Password.spec.ts","",""
"","4364","TC-LOGIN-35 — Arabic (RTL, non-Latin) username does not crash the server","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-35-Verify-Arabic-RTL-Characters-In-Username.spec.ts","",""
"","3117","TC-LOGIN-18 — 256-character username does not crash the server","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-18-Verify-Username-256-Characters-Over-Boundary.spec.ts","",""
"","6158","TC-LOGIN-25 — Session is invalidated after logout","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-25-Verify-Session-Invalidated-After-Logout.spec.ts","",""
"","3233","authenticate and save session","setup","2026-08-26","passed","2026-08-26","","auth/global.setup.ts","",""
"","3807","TC-LOGIN-06 — Session persists after page refresh","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-06-Verify-Session-Persists-After-Page-Refresh.spec.ts","",""
"","3399","TC-LOGIN-33 — 1000-character password does not freeze the server","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-33-Verify-Very-Long-Password.spec.ts","",""
"","5490","TC-LOGIN-04 — Login then logout returns to login page","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-04-Verify-Logout-Redirects-To-Login-Page.spec.ts","",""
"","4258","TC-LOGIN-38 — Back button after login behaves safely","login-tests","2026-08-26","passed","2026-08-26","Login — Authentication","auth/login/TC-LOGIN-38-Verify-Back-Button-After-Login.spec.ts","",""
